location,start,end,age,activity,tagID
Inside,2017-06-21 08:18:54.450,2017-06-21 09:09:28.900,0,inside,1237
Outside,2017-06-21 09:09:28.900,2017-06-21 09:22:16.100,0,outside-foraging,1237
Inside,2017-06-21 09:22:16.100,2017-06-21 09:36:01.000,0,inside,1237
Outside,2017-06-21 09:36:01.000,2017-06-21 09:46:43.300,0,outside-foraging,1237
Inside,2017-06-21 09:46:43.300,2017-06-21 16:06:24.900,0,inside,1237
Outside,2017-06-21 16:06:24.900,2017-06-21 16:09:15.250,0,outside-short,1237
Unknown-Inside,2017-06-21 16:09:15.250,2017-06-21 16:51:37.850,0,undefined,1237
Unknown-Inside,2017-06-21 16:51:37.850,2017-06-21 17:17:13.750,0,undefined,1237
Unknown-Inside,2017-06-21 17:17:13.750,2017-06-21 17:53:49.250,0,undefined,1237
Unknown-Inside,2017-06-21 17:53:49.250,2017-06-22 08:18:14.450,0,undefined,1237
Unknown-Inside,2017-06-22 08:18:14.450,2017-06-22 08:56:02.150,0,undefined,1237
Inside,2017-06-22 08:56:02.150,2017-06-22 09:00:53.150,1,inside,1237
Outside,2017-06-22 09:00:53.150,2017-06-22 09:40:59.050,1,outside-foraging,1237
Inside,2017-06-22 09:40:59.050,2017-06-22 14:50:52.700,1,inside,1237
Outside,2017-06-22 14:50:52.700,2017-06-22 16:19:50.100,1,outside-foraging,1237
Inside,2017-06-22 16:19:50.100,2017-06-22 16:56:08.200,1,inside,1237
Outside,2017-06-22 16:56:08.200,2017-06-22 17:22:44.050,1,outside-foraging,1237
Unknown-Inside,2017-06-22 17:22:44.050,2017-06-23 08:15:41.450,1,undefined,1237
Inside,2017-06-23 08:15:41.450,2017-06-23 08:33:12.650,1,inside,1237
Outside,2017-06-23 08:33:12.650,2017-06-23 08:49:22.650,2,outside-foraging,1237
Unknown-Inside,2017-06-23 08:49:22.650,2017-06-23 09:27:41.800,2,undefined,1237
Inside,2017-06-23 09:27:41.800,2017-06-23 09:30:35.500,2,inside,1237
Outside,2017-06-23 09:30:35.500,2017-06-23 09:48:03.400,2,outside-foraging,1237
Inside,2017-06-23 09:48:03.400,2017-06-23 09:56:21.450,2,inside,1237
Outside,2017-06-23 09:56:21.450,2017-06-23 10:15:37.350,2,outside-foraging,1237
Unknown-Inside,2017-06-23 10:15:37.350,2017-06-23 14:48:00.650,2,undefined,1237
Unknown-Inside,2017-06-23 14:48:00.650,2017-06-23 15:44:27.500,2,undefined,1237
Unknown-Inside,2017-06-23 15:44:27.500,2017-06-23 15:59:41.550,2,undefined,1237
Unknown-Inside,2017-06-23 15:59:41.550,2017-06-23 16:36:21.600,2,undefined,1237
Inside,2017-06-23 16:36:21.600,2017-06-23 16:39:07.300,2,inside,1237
Outside,2017-06-23 16:39:07.300,2017-06-23 17:06:05.400,2,outside-foraging,1237
Inside,2017-06-23 17:06:05.400,2017-06-23 17:07:20.450,2,inside,1237
Outside,2017-06-23 17:07:20.450,2017-06-23 17:57:54.600,2,outside-foraging,1237
Unknown-Inside,2017-06-23 17:57:54.600,2017-06-24 08:08:16.400,2,undefined,1237
Unknown-Inside,2017-06-24 08:08:16.400,2017-06-24 09:36:36.850,2,undefined,1237
Unknown-Inside,2017-06-24 09:36:36.850,2017-06-24 10:32:35.300,3,undefined,1237
Inside,2017-06-24 10:32:35.300,2017-06-24 11:48:58.000,3,inside,1237
Outside,2017-06-24 11:48:58.000,2017-06-24 11:57:12.150,3,outside-foraging,1237
Unknown-Inside,2017-06-24 11:57:12.150,2017-06-24 12:30:35.900,3,undefined,1237
Inside,2017-06-24 12:30:35.900,2017-06-24 12:41:20.950,3,inside,1237
Outside,2017-06-24 12:41:20.950,2017-06-24 13:07:08.350,3,outside-foraging,1237
Unknown-Inside,2017-06-24 13:07:08.350,2017-06-24 17:29:01.050,3,undefined,1237
Unknown-Inside,2017-06-24 17:29:01.050,2017-06-25 08:07:25.050,3,undefined,1237
Inside,2017-06-25 08:07:25.050,2017-06-25 08:15:03.850,3,inside,1237
Outside,2017-06-25 08:15:03.850,2017-06-25 08:30:05.450,3,outside-foraging,1237
Unknown-Inside,2017-06-25 08:30:05.450,2017-06-25 08:48:37.850,4,undefined,1237
Inside,2017-06-25 08:48:37.850,2017-06-25 08:52:25.650,4,inside,1237
Outside,2017-06-25 08:52:25.650,2017-06-25 09:41:22.550,4,outside-foraging,1237
Inside,2017-06-25 09:41:22.550,2017-06-25 14:41:48.250,4,inside,1237
Outside,2017-06-25 14:41:48.250,2017-06-25 14:48:37.450,4,outside-foraging,1237
Unknown-Inside,2017-06-25 14:48:37.450,2017-06-25 17:11:58.850,4,undefined,1237
Inside,2017-06-25 17:11:58.850,2017-06-25 17:13:24.250,4,inside,1237
Outside-Unknown,2017-06-25 17:13:24.250,2017-06-26 08:02:28.900,4,undefined,1237
Outside,2017-06-26 08:02:28.900,2017-06-26 08:09:55.700,4,outside-foraging,1237
Inside,2017-06-26 08:09:55.700,2017-06-26 08:56:53.950,4,inside,1237
Outside,2017-06-26 08:56:53.950,2017-06-26 09:09:34.250,5,outside-foraging,1237
Inside,2017-06-26 09:09:34.250,2017-06-26 10:24:24.200,5,inside,1237
Outside,2017-06-26 10:24:24.200,2017-06-26 11:13:17.350,5,outside-foraging,1237
Inside,2017-06-26 11:13:17.350,2017-06-26 11:33:59.300,5,inside,1237
Outside,2017-06-26 11:33:59.300,2017-06-26 11:54:21.650,5,outside-foraging,1237
Inside,2017-06-26 11:54:21.650,2017-06-26 14:02:52.250,5,inside,1237
Outside-Unknown,2017-06-26 14:02:52.250,2017-06-27 08:05:27.900,5,undefined,1237
Outside,2017-06-27 08:05:27.900,2017-06-27 08:26:28.850,5,outside-foraging,1237
Inside,2017-06-27 08:26:28.850,2017-06-27 08:31:09.300,6,inside,1237
Outside,2017-06-27 08:31:09.300,2017-06-27 08:45:02.300,6,outside-foraging,1237
Inside,2017-06-27 08:45:02.300,2017-06-27 08:47:57.500,6,inside,1237
Outside,2017-06-27 08:47:57.500,2017-06-27 09:03:41.850,6,outside-foraging,1237
Inside,2017-06-27 09:03:41.850,2017-06-27 09:07:48.100,6,inside,1237
Outside,2017-06-27 09:07:48.100,2017-06-27 09:57:44.250,6,outside-foraging,1237
Inside,2017-06-27 09:57:44.250,2017-06-27 10:10:09.850,6,inside,1237
Outside,2017-06-27 10:10:09.850,2017-06-27 10:32:16.450,6,outside-foraging,1237
Inside,2017-06-27 10:32:16.450,2017-06-27 11:31:29.000,6,inside,1237
Outside,2017-06-27 11:31:29.000,2017-06-27 13:57:56.450,6,outside-long,1237
Inside,2017-06-27 13:57:56.450,2017-06-27 14:04:25.400,6,inside,1237
